# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090801_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090801/0106c08559ba2663a74da40b3415c852408eb256.Zbot C001-0615 20090801/0106c08559ba2663a74da40b3415c852408eb256.Zbot 0.000284871
20090801/010a1da500dc2297df576a6d952b0056d3763cfd.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.358569
20090801/01322b9d9b987f381738b3d71d704ded8fa2ad3f.Virut rejected 20090801/01322b9d9b987f381738b3d71d704ded8fa2ad3f.Virut 0
20090801/01358b6c2cbd1df26917b34a85a0d623c443b54c.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/013a7412f4f0c6adc9ab9b26a9336b5a1780549e.NothingFound rejected 20090801/013a7412f4f0c6adc9ab9b26a9336b5a1780549e.NothingFound 0.00016138
20090801/0141ca53acd4e5a9e8b9349026690b386c3f174b.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/014a3beecda7cbb427caeb44ff7b886f0fed52f4.Virut rejected 20090801/014a3beecda7cbb427caeb44ff7b886f0fed52f4.Virut 0
20090801/014fc6d0e98d2c4a56d5155f3e46b25db4bd0e5f.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.553534
20090801/0158a59e7f7a177c319bbc81b5d63e6a3e1b7f20.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/01942233ac19796d5f70ead2ec1a72b75b6f494e.Agent rejected 20090801/01942233ac19796d5f70ead2ec1a72b75b6f494e.Agent 0.000271824
20090801/01b4d1b9863fc8c7bd1cb2017615b3a549c9c0ee.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.587537
20090801/01b7e69243be5470e375bb2b3cf1aae4bedd327d.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.386593
20090801/01dad74d06f3c015c63a22687f4621e2e23a7f73.Swizzor C001-0099 20090801/039b22b5c8d825599d3ec4e135dba50f1a190b48.Swizzor 0.405991
20090801/01e0b4d719a16715af50f6901bd907389e68f76e.Buzus C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/01e1f8f367201362e06d92825f2e8f734d4f5aa3.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.286691
20090801/020b378a83fa1f9bbab9f302e73a880b667ff2c9.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.570098
20090801/020be27c9d3502fac17de5a9a46eedd9c0e1e296.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/0212f317d92ddc8616c100cbc42778308babf934.Agent rejected 20090801/1e1c89a7fe69b21a5db4fd711c73f4e8e18014fb.Zlob 0.452267
20090801/0214d6af3725901838c260286f26745fcfa98fed.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.316949
20090801/021feaf3ef639cf91861c3516e5d20a1a1def5c6.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.501381
20090801/02214e71dcc94efda1495dd5540c730143e8030a.Tdss C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/022549f1f05f8a7ca00227892603d139cd53336f.C4DLMedia rejected 20090801/022549f1f05f8a7ca00227892603d139cd53336f.C4DLMedia 0.000355752
20090801/0229e5e3efa885f6bf8e1e5f752ef34f918f053a.VB C001-0711 20090801/0229e5e3efa885f6bf8e1e5f752ef34f918f053a.VB 0.000273731
20090801/02349f4deb99e7390af34267f90f3146a0835d3c.Agent rejected 20090801/02349f4deb99e7390af34267f90f3146a0835d3c.Agent 0.000438496
20090801/02407d996dce5816c7016b64fecd68ee59270833.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.546112
20090801/0243f1caa1269e744790ca12ca1f151accab4859.Magania C001-0650 20090801/4f9cef562a8138b658b05d52f2079023f9a3f921.Magania 0.596736
20090801/02587cf44026e4bc03ea3fef535e0fd054ae5a40.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/0273dd58146d2c8cbfc7941e14eae943bf9a179a.NothingFound C001-0711 20090801/4cf462b562c1454d04e4c6e5ffd759923f75dfdb.NothingFound 0.495595
20090801/0279036fe74b9e36ceece629e99e626b3ef3dc75.NothingFound rejected 20090801/0279036fe74b9e36ceece629e99e626b3ef3dc75.NothingFound 0.000230024
20090801/0282fadf691360ef6aa98ba309d5ef9765316f0f.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.614879
20090801/0294072fa5683048141aac47ffc6ad5a54696706.Basun C001-0668 20090801/b4c791cf5cb04e2ede5060cc5c0755b71b4a7f20.Basun 0.579596
20090801/02c5733a671efbe55230edc15a38a59fa28a7739.NothingFound rejected 20090801/02c5733a671efbe55230edc15a38a59fa28a7739.NothingFound 0.00032561
20090801/02cdba1913f054373c055095bc3210216c0c38e7.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.540326
20090801/02d0d2ae0038d7aba6d313f12641904af25ce5c0.WOW rejected 20090801/02d0d2ae0038d7aba6d313f12641904af25ce5c0.WOW 0
20090801/02d48f7c54fad43531abe3af051755fb170503bf.VB rejected 20090801/02d48f7c54fad43531abe3af051755fb170503bf.VB 0
20090801/02db5d185600552a5126bc5291f017202a0287cb.AutoRun C001-0129 20090801/03256f54b5b26a28fbcee8c5a007d338acc53a06.AutoRun 0.274204
20090801/02fdcb14a748018f885e01152c326d8a24e9aaa7.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.302199
20090801/031da08535ef4046dbbd2460491923a5442cf6d2.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/032017817656a51644c90974a21e181ad2f4620a.NothingFound rejected 20090801/032017817656a51644c90974a21e181ad2f4620a.NothingFound 0.00031399
20090801/03256f54b5b26a28fbcee8c5a007d338acc53a06.AutoRun C001-0129 20090801/03256f54b5b26a28fbcee8c5a007d338acc53a06.AutoRun 0
20090801/0364ec99767a5b062b818cda4dca5a5f224cf7c9.Agent rejected 20090801/0364ec99767a5b062b818cda4dca5a5f224cf7c9.Agent 0
20090801/0369ef7c271371c59bc0d97459cde2f47ff5bf33.NothingFound rejected 20090801/0369ef7c271371c59bc0d97459cde2f47ff5bf33.NothingFound 0
20090801/03714f7de475b70c3f628807f28c5d0f1f710e69.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.605902
20090801/038a15574bf4ea9e8d536b933c6576bdf749dcaa.Sramler rejected 20090801/038a15574bf4ea9e8d536b933c6576bdf749dcaa.Sramler 0
20090801/039b22b5c8d825599d3ec4e135dba50f1a190b48.Swizzor C001-0099 20090801/039b22b5c8d825599d3ec4e135dba50f1a190b48.Swizzor 0
20090801/03b213aa68e306564f86b5d5c43c3708467f5692.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.552392
20090801/03b6918a64c6c4be5d3fd9ce2d87bb8a404709c7.Agent rejected 20090801/03b6918a64c6c4be5d3fd9ce2d87bb8a404709c7.Agent 0
20090801/03ce7472d09c77604dc867800850531b4c25d7d9.NothingFound C001-0639 20090801/ae14a9878f671dd9810f78dd80adbb733cd48782.NothingFound 0.580955
20090801/03cef9862394e631c9b0896adee4b45a910688da.Krap rejected 20090801/1011dcc418d1e6eb930eaf426aebb4accdbb6861.Krap 0.538816
20090801/03d2e5b89bea7179ab1d141bbba863c7dd401a81.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.406033
20090801/03f20bc560b0469e3899e86d6377fbe496a08209.FraudPack C001-0490 20090801/ffdba6079b981688512353c89ca7e1b8f4868263.FraudPack 0.525968
20090801/04118d390dab3b83f0da4dd725a0e790b9a7e25f.NothingFound C001-0805 20090801/6d9fe9196e5f0df4d6311c5bb9a5ebbcd558c6c6.NothingFound 0.624695
20090801/044116df442b1f1cf72a6919766ada744bf40452.Zbot C001-0003 20090801/044116df442b1f1cf72a6919766ada744bf40452.Zbot 0
20090801/044858bb378b3a46bf5811a3d53ed2137f628297.NothingFound C001-0003 20090801/cde71f0002b3bfe12996d11f9b037b2e81983b46.VB 0.582169
20090801/044dbe37d3723de0241cfcf4a5a3c94ddd14fee8.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.562017
20090801/046ef7f825d2a4fad24f8e9a5c7c4ff2668ebf16.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
20090801/047451ae7b58eaaffbb11ab8253dbb59ebfe4011.NothingFound rejected 20090801/047451ae7b58eaaffbb11ab8253dbb59ebfe4011.NothingFound 0
20090801/0483a39b48d8a059d82a4ad8afcafa78cbecaa14.VB C001-0151 20090801/1647088e3f2cee883d88ed0cdd9273c64f6d98b8.VB 0.279599
20090801/04c46f01693b4c544e7c5a93e19dabae9baaa029.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.587537
20090801/04c5f6f7e535f248b430d9a77e277c796dcbd4d9.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.558858
20090801/04e9b34dee0d33e2cd9ee38b20e443f933960130.Fujack rejected 20090801/04e9b34dee0d33e2cd9ee38b20e443f933960130.Fujack 0.000267942
20090801/05170add03b8218bfc3cf96556527b9f77be2507.Agent rejected 20090801/05170add03b8218bfc3cf96556527b9f77be2507.Agent 0
20090801/05221afdfac0ad41b8dee5c8f9476deb58e74315.NothingFound C001-0711 20090801/05221afdfac0ad41b8dee5c8f9476deb58e74315.NothingFound 0.000419213
20090801/05227efe89b76e826404e23f2b57488e0b9f6d0f.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.525488
20090801/05786b78c0d13da393ccc12ed5962540884ae5f0.NothingFound rejected 20090801/05786b78c0d13da393ccc12ed5962540884ae5f0.NothingFound 0
20090801/0592e4661582e9445dbf66e8bf917304004c978e.Virut rejected 20090801/0592e4661582e9445dbf66e8bf917304004c978e.Virut 0.000260307
20090801/059bb85ce88a7404f86228517baabed8ee923a90.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/059e557018ec9dc865228fa95573c9c9a347fcdf.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.601382
20090801/05b8967e007d7d9e37a0a2bcff60b2cab503199c.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/05c873aa7721b72855c0fe651f6a31cc0a1cf986.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.538892
20090801/05dbb2f2b9d2ea3b03bd913e1a6651b8f13799d8.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.587537
20090801/05ef5dec87c947605ec445cdbeaf7fd0ff5d472a.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/05fe4e4802213b7483cc28fb9b3c901442dcdcf6.Swizzor C001-0099 20090801/039b22b5c8d825599d3ec4e135dba50f1a190b48.Swizzor 0.448923
20090801/0603469e7fb831314adbc9dd443c4161099e7bd1.Swizzor rejected 20090801/0603469e7fb831314adbc9dd443c4161099e7bd1.Swizzor 0
20090801/0616ed52b6a5f76464b51f261439e9c7552ad56c.NothingFound C001-0639 20090801/ae14a9878f671dd9810f78dd80adbb733cd48782.NothingFound 0.577016
20090801/061dc567ad8583669af93b441fc9324090c237ab.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.316949
20090801/061e2ded7827ce5b31a25b72017c569adcaed3bf.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.522943
20090801/061ff7275b5c14049973e0329883dd3f1f1eedf4.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.554677
20090801/06240f2ea9cbf232b4d7af172ba0d56aeb44fe4c.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.568578
20090801/06551339709620bf59db4d1d46a33e2bcbbf32cb.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.430946
20090801/065698223ab51e7da2cb1d9a09db8edf20b2444e.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/065a62f7bcf657e0aa1beecf3968d1f6d7ba93ec.NothingFound C001-0552 20090801/aff6e99b156fd31e49e0f13cd127e20eb0af35be.NothingFound 0.48795
20090801/066f95ce3bf9fa58b8bf870478fe7e0cd7d3d905.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.468317
20090801/068fa3d646ef1e666ed3bfb8eb4d7d53108b0602.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/06a6e32eb6ef6d3af3cf0b4fdf67aaacecbb8880.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.534498
20090801/06ac5a1fb837e631d296252bfd5675f5d0dbc7f1.NothingFound C001-0639 20090801/06ac5a1fb837e631d296252bfd5675f5d0dbc7f1.NothingFound 0
20090801/06c7fc31b469dd41de2ab2ac638db802f609ebe4.WinSpywareProtect rejected 20090801/06c7fc31b469dd41de2ab2ac638db802f609ebe4.WinSpywareProtect 0.000405564
20090801/06d0956e48747d277d43decf33c4cd6dd0cd5505.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.302199
20090801/06d8c5619357e3a2cbc9039363bc63d605e5ec6a.FraudLoad rejected 20090801/495a2ab07b3995317b9ad3fb4def8b389067ad4c.FraudLoad 0.612719
20090801/06e90ac250376bb93ca1ed9d842863f401d8295f.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.578135
20090801/06eb954c9e9c3dcd7b99d6fdce737cd6112b9a43.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.316949
20090801/06ffc383f25a6d2540c3e7c77c19fcce2457f933.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/073062624c85a31dec3799c98b518f9c779cbd46.Udr C001-0123 20090801/073062624c85a31dec3799c98b518f9c779cbd46.Udr 0
20090801/073917f7db0416176ea7a8c23677f3e3749200e7.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.540326
20090801/0749ff65cca6867f2c1b51616574cc17be9c528f.Swizzor C001-0099 20090801/0749ff65cca6867f2c1b51616574cc17be9c528f.Swizzor 0
20090801/075c18c6ad58f2d61470bfefafbfccfd60e02862.NothingFound C001-0507 20090801/6c4c07634142dee6eb7bcbe317218dbad7a5f906.Injecter 0.488457
20090801/075d58f374d5967813fde788431d64eee47a628d.Swizzor rejected 20090801/0d82200958810d780b755f496689e618875aa203.Swizzor 0.261488
20090801/076785c7417055d4c9c96121c089278f11f85b63.Swizzor C001-0099 20090801/810175e29d825d990f509e9457e230b3b2197276.Swizzor 0.41446
20090801/076c66c6b21a76b02286ab13bb763b09940a4aa4.GrayBird rejected 20090801/f7b0a0933cbaee5ca65f6f38e7bd6a7b0f0f1c8d.PePatch 0.615593
20090801/077bffcf8018f21d9fc3b9088cf16057381d794b.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.476346
20090801/07862276aef18f28e81d323e158b35fe3b6f830e.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.533817
20090801/078e630000924ac232405f0433e87eac5a42290a.Nilage rejected 20090801/078e630000924ac232405f0433e87eac5a42290a.Nilage 0.000273731
20090801/079e6a6bf5340ff67e8a7f990ca8d4cfbb9e51dc.NothingFound rejected 20090801/079e6a6bf5340ff67e8a7f990ca8d4cfbb9e51dc.NothingFound 0
20090801/07e5ebf510b739e660b0a1bbc8a17d4231bab9c6.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.504021
20090801/0823b5ba9e729766e9cabe9165653f79c22e94dc.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.59679
20090801/0848587f9a58dffc761bdf53af3dd8ae7dd4a494.Ejik C001-0650 20090801/4f9cef562a8138b658b05d52f2079023f9a3f921.Magania 0.553569
20090801/0863bf17c84da86c6f1a4ba933ffa7802738bd74.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.56035
20090801/08641c8d72108f704c7daeea68743a3b39a1a6ff.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.519532
20090801/08672d3af087c3add3d5d7ba789b6c230d0dc636.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.56035
20090801/08857259ae56a73e120c03419807edc25fa9e5cd.Lipler C001-0166 20090801/08857259ae56a73e120c03419807edc25fa9e5cd.Lipler 0
20090801/0896d4114ff0ea0ef42cfb73c4cd41805359085f.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.430946
20090801/08993369d2eeaeb67e70064bea877e484614d97e.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.302199
20090801/08a31f47a131aa852e5295dd3a45e3ed23e6335e.Swizzor C001-0099 20090801/810175e29d825d990f509e9457e230b3b2197276.Swizzor 0.402323
20090801/08b117164bb60e90e28da9e96cacaf6e26b3c4ca.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.553654
20090801/08b5c16828b34e3dece8248e8d7a4d74c100a08f.AutoRun C001-0129 20090801/03256f54b5b26a28fbcee8c5a007d338acc53a06.AutoRun 0.274204
20090801/08badb88c4ae3b1592e0a7d750a83f0f1bef06e6.Tdss rejected 20090801/08badb88c4ae3b1592e0a7d750a83f0f1bef06e6.Tdss 0.000163973
20090801/08cc974bac42ce66ff562475e85dd6ba4d83e0e5.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.530031
20090801/08d465cbc1950f28942182133f0f025121515d41.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.59858
20090801/08e891ad22fbed4f1703facf3acfbca3b623450c.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.573038
20090801/090202a716d31f9a39f1f97447ad72fa784d7c89.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.564496
20090801/09228e4bf9aabaa4d6aa4c68c703a79242ce11be.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.62729
20090801/0928e25bb0d3ef1aa1514bfb222de8c4c1181f78.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/092d806a99099c726e1c47e02202ad2eeced1076.NothingFound rejected 20090801/118c0d9c7986ebbc131f32269a0216bae011d757.NothingFound 0.477318
20090801/093c440a23abd871b1f53c2ebb3124ec2292b166.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.576558
20090801/0969cc81439c76c341311b496c43d1875c06c0ec.Basun C001-0668 20090801/b4c791cf5cb04e2ede5060cc5c0755b71b4a7f20.Basun 0.577145
20090801/0971999b62f85e9d147bfaa0be281faa6024bee7.FraudPack C001-0490 20090801/ffdba6079b981688512353c89ca7e1b8f4868263.FraudPack 0.415724
20090801/097f50810db1464610d016079896ea129893e664.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.302199
20090801/0983706c8491b30ba5bd3ad95f3d9c6de1f8e2dd.StartPage rejected 20090801/65c1364b8cb8e529db18aa00ccb1cedb142789ab.StartPage 0.56466
20090801/0985c0114236a5eb58c24a519a6fba64b91fcf24.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.554677
20090801/099e6f201ba9f883cf447c22fc8bc326c524b4c0.NothingFound C001-0429 20090801/00bef0928a8a8e1001e99c032898652b6f0bc75c.NothingFound 0.443285
20090801/09aeb8bee8f0769c645a6aec89e9bfda41c040ac.Virut rejected 20090801/09aeb8bee8f0769c645a6aec89e9bfda41c040ac.Virut 0
20090801/09b334b2ac7ac1126ff14f212d807c3f86624c60.NothingFound rejected 20090801/09b334b2ac7ac1126ff14f212d807c3f86624c60.NothingFound 0
20090801/09c888478aa913b79bf531618f451b2dabf3e8dc.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.533817
20090801/09d21012267c1cb38e323940edcd9631e0d68229.VB C001-0003 20090801/00d5615d19c851934dc481c607b6a74a6e9e536e.VB 0
20090801/09e7689527fd4f91fe6c04a2bfe822a60f1ce8fc.NothingFound C001-0711 20090801/fb8cf7d23f9136d6b8202f5f8caf7732f7b7d8b1.Kolab 0.479603
20090801/09ea887689f269f89832ab3f3696d379034a2ae6.VB rejected 20090801/09ea887689f269f89832ab3f3696d379034a2ae6.VB 0
20090801/0a0302a4687c48ab817467f79443f55578d0b3ff.Swizzor C001-0246 20090801/b9a1414258ff02b5ce190e49fe7a53113236b5a9.Swizzor 0.358569
20090801/0a11dc047c817873fbbe458116a6c2648b630ab8.NothingFound rejected 20090801/0a11dc047c817873fbbe458116a6c2648b630ab8.NothingFound 0
20090801/0a128597ce8434ba21559e4153e7f838444646da.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.605343
20090801/0a1c6703707e8547e851d3b0892dc44ad82fab60.Basun C001-0473 20090801/981cb8b7bfc5daa549c265e0c885428712681033.Basun 0.331042
20090801/0a5344dfe4ee71cd8c01a181e8a3c6090a1a723c.FraudLoad rejected 20090801/0a5344dfe4ee71cd8c01a181e8a3c6090a1a723c.FraudLoad 0.00034073
20090801/0a6cbeee24d37e42b5698319f9af6ebbed74395c.NothingFound C001-0639 20090801/35d5b50b7d4a13fd1738215d25735ab4a2eb1815.NothingFound 0.532619
20090801/0a6ed6f2105e6c3fa7a612fc96f489f2df131798.NothingFound C001-0552 20090801/0a6ed6f2105e6c3fa7a612fc96f489f2df131798.NothingFound 0
20090801/0a7091612e61a2e30cc699b6673a7a2a1d6ad5aa.Basun C001-0476 20090801/acf6de1bec01f5a47b365ec8d08ed896eb576788.Basun 0.59053
20090801/0a726f724f68fc398734b81f0b766837feafd8b8.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.605902
20090801/0a76cb387259107fa4c78a313b221c491837cae1.Chifrax rejected 20090801/0a76cb387259107fa4c78a313b221c491837cae1.Chifrax 0.000348003
20090801/0a7ca797f3e439199b9a8aa7f9b9e1bf4fde3114.Swizzor C001-0734 20090801/2cc743446e34861d36d18b279b5d662a7961731c.Swizzor 0.528061
20090801/0a7e963db183f733d9d62480d429d1a438a2ea64.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
20090801/0a8e69f80f39b18a78ca7778a4efb029e7b42fbf.Zbot rejected 20090801/0a8e69f80f39b18a78ca7778a4efb029e7b42fbf.Zbot 0
20090801/0aa150cb7ea9957e1bd9305f2ae6953e0f3ecf60.NothingFound rejected 20090801/0aa150cb7ea9957e1bd9305f2ae6953e0f3ecf60.NothingFound 0
20090801/0aaa5006d87450d07b57513338e516603710f680.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.554677
20090801/0ac5307bc4768bc995e07d1222702637edbfafb7.NothingFound C001-0639 20090801/9aa31d477a0c394ae3e142b3956e8ca3ed11e80f.NothingFound 0.548966
