# MALHEUR (0.4.6) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009 Konrad Rieck (rieck@cs.tu-berlin.de)
# Berlin Institute of Technology (TU Berlin).
# ---
# Incremental analysis for 20090802_mist.tar.gz
# ---
# <report> <cluster> <prototype> <distance>
20090801/00fa504f0bd45969fd29d4c740c801c027698415.NothingFound C001-0805 20090801/1b405399dd51b36bb86a7ee184d4e8c7fc0a018e.FlyStudio 0.648464
20090802/00e586a3c25d97bc1b112cbad672a91ba2384296.Swizzor C002-0988 20090802/57a7f5e0d1a462a5e4de1d1dabbb5da7e7d61da1.Swizzor 0.634533
20090802/010d1e20d98e8b87b4208a6b5c80f01c088037d8.NothingFound C002-1148 20090802/688892f26ab915be8aa1ee730704958ca916f200.Bifrose 0.52769
20090802/011a8aead089b16a65f837b3524f58e84c34e303.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.509658
20090802/013652ef9219818cbfb498aaddb30c977cdce199.Magania rejected 20090802/013652ef9219818cbfb498aaddb30c977cdce199.Magania 0
20090802/01457a241824506c274051df725c475d1f7d92d7.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.525891
20090802/0173a0d4005e410835b0f49e3f02268265c3f8bb.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090802/017594f23e771d09a24dc4c7b2b52c4c74ce93fc.Drob rejected 20090802/ee6b9b064c919cdec4e6190297e1b78f7a14c0eb.Drob 0.520908
20090802/0181f4dbed440993479034eae5439d7550a1f014.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.111983
20090802/019c38996a030c2bd7132ff9fde2da531532a902.Buzus rejected 20090802/019c38996a030c2bd7132ff9fde2da531532a902.Buzus 0
20090802/01a2200831c34d902364b9ba12082b9ab79c0976.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.323488
20090802/01b3a7774a613d1a866434f06128e9735112cc12.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0958274
20090802/01cb48fdcacd1571b85c99e1d8b5499b81f5e63c.TDSS rejected 20090802/f2e732f2d75ad2165a0bd44f10db30642bde1551.TDSS 0.496398
20090802/01dde2fa7d37dc1f389bd0aac804781a13dd9e9a.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.192677
20090802/01ea0141110652ac0ecee45b753877be66a887cc.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.533723
20090802/01f90ac48b291efdf2038b8bc2ccb82f574188b1.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.108595
20090802/02049c8003b0c4ef47524c0cb8add4a2fe78bc8f.FraudPack rejected 20090802/3307040868eeed136a839ac8c40eba0b050b3f20.FraudPack 0.635407
20090802/02193312de582d432fd2578fce023bdabe77913a.Crypt C002-1148 20090802/c708f2781943ba3ca7a57235177ec05fe2539dc9.Poison 0.582171
20090802/0221b5948d7af7066c8486c1ba1be974646ce9b9.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.107687
20090802/0226d7e91f8b540247d944a16c9d73d166c770c6.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.102445
20090802/023c00261dca806767f98513c4de1e29b7123644.Virut rejected 20090802/30cc472a5fb71630388dd4d1e019bf27d193848c.Virut 0.497224
20090802/029fd200642365a4573b6c43ea98c9c22141a46f.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.538881
20090802/02b8c7d0301b252ee6cee72e68931cfd16df3d32.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.548551
20090802/02c6e4f6bada7f56394030e100085cc7f36c4741.VB C002-0140 20090802/ecd1ddc26c3d99da91497d17017c192114f4169e.VB 0.237689
20090802/02e10ddd198d9608fd4eef5c1aeb3495f9426dff.Cinmus C002-0546 20090802/ca0e36c6c1d516dd7c33084b0928dd4cd8baf71b.Cinmus 0.539274
20090802/031924e957675a27504121655055fcc1ea7b048c.Agent C002-1184 20090802/49ce0be6be6c7205d12a6b1e99ddf0bdba5db087.Virut 0.496398
20090802/031f039eef263004800382f28ca3468e13f66e65.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.511984
20090802/03243345f1fe1879a4b0f7c23e5c5d9738475ecb.Udr C002-0337 20090802/0e3162c48a45b7bc2a89288e0d7d17e2417b48fb.Udr 0.179287
20090802/0337fa68498c85f02cace3808fa6d75b08371dd3.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.491954
20090802/033a86c17053dad4dc8ecd26b08fd0024bb44d7a.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.512732
20090802/0349565eb0a4f21d6d0bf570ff75b71ac17db0cb.Lipler rejected 20090802/b5dfa0b42aba01de6884246079555c31d3353dda.Lipler 0.368889
20090802/03586cccaabf97a6bcb1f154dead6b70d07ff1c6.Tdss C002-0514 20090802/e5a57363c77cc6ed174d377dc40cf273c887b3d6.Tdss 0.325581
20090802/038b138ae68acd91a1394c8f5753878dcc54ed85.Swizzor C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.39446
20090802/03a2b9a9e7a91703da192801a301f6606af5b4ec.Agent C002-1134 20090802/03a2b9a9e7a91703da192801a301f6606af5b4ec.Agent 0.00016138
20090802/03c5a3fc0b3c1931489184de715aecb55c14c822.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.201635
20090802/03d3d6be70f615825daa9dd195fdf943d7631f92.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.10564
20090802/03de3ccbf59e224ca963b5f79ac71d0f6db2b314.NothingFound rejected 20090802/03de3ccbf59e224ca963b5f79ac71d0f6db2b314.NothingFound 0.000315387
20090802/03e33f7e56abd270841d89cc7106a6906aa5a1da.Homa rejected 20090802/03e33f7e56abd270841d89cc7106a6906aa5a1da.Homa 0.00031908
20090802/03e6bf7b32679ba9fcd3f3a278980ae6599ec30e.Pasta C002-1133 20090802/03e6bf7b32679ba9fcd3f3a278980ae6599ec30e.Pasta 0
20090802/04145d62ac86b472da41441d20c4c74870d84398.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.117288
20090802/04664bebcb495b843f19178a60473a4b75d7585a.VB C002-0294 20090802/371359a55c9994ebb26aae57b5c762a6f73181b0.VB 0.180819
20090802/049db6b45a8f8c592dc357c46b0da6d34bf0769b.Poison rejected 20090802/049db6b45a8f8c592dc357c46b0da6d34bf0769b.Poison 0
20090802/04ab846fb169a0db53235b1d3e4d9a7a24132af9.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.528514
20090802/04abffa752f91229bfa9bf9734a1dd0e892f32a7.NothingFound C002-1008 20090802/c46e993a9f926fb02cdc33c151557f757e6d7651.NothingFound 0.414729
20090802/04afc344f00d43ec09b233a3f314d24f451114ef.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.57138
20090802/04c53944ee1c1bd7c4fb71b3d2b80aecf3e86579.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.519642
20090802/04cec7a15dc68b1f4240051131913a3ae6338901.Klone rejected 20090802/757281780dab2910d4fbfe5ff21c6b013057352f.Hupigon 0.46408
20090802/04fd6bdeb984c689d481b0bfb017b7a501ada813.PcClient rejected 20090802/04fd6bdeb984c689d481b0bfb017b7a501ada813.PcClient 0.000119812
20090802/04febddbf8265a8950799631d6d42dbd8d6cfb75.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.542606
20090802/0512896a6f2f4fc4cc47a0a620b120a0cdb08e32.Texel rejected 20090802/0512896a6f2f4fc4cc47a0a620b120a0cdb08e32.Texel 0
20090802/052fd3dd7d1861b39bcf1890d37f77875ef8e78c.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.441946
20090802/053646f228b14bc83089ca6e7c2a2fd63b1e87f7.FraudLoad C002-0973 20090802/85c0e55effa28926f2b62e7ab8923e783fadf9a2.SystemSecurity 0.452902
20090802/053d0a7c8b239edded607acb798c9c175875bdbc.FlyStudio rejected 20090802/3780a08943fc70857a4afb8924d8970bde883711.NothingFound 0.469446
20090802/053f9d3c7691eaaa32d76d053fc9609ef4baad75.Swizzor C002-0803 20090802/dda444304ceb1818ba0e5c3a5f1caa6e18f9498e.Swizzor 0.574706
20090802/054101ac2bcf029bab5efef76ab65d91be613c0e.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0984876
20090802/054a56d7415c82b5897c114d59b01c1a706a400a.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.192126
20090802/05b79b606e858b2a56de8ee17fbaa00bd95a6373.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.484152
20090802/05c5dfc70e0e60abb6162d7087ab7e163630e08f.Agent rejected 20090802/9faf3348600558511c92070264ba27a80a707b98.Agent 0.455856
20090802/05db239117b8f4fa6f036ef8f62c144c0abf095b.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.425231
20090802/05e00e37acc7659b95fa4b76879db927c12632cd.VB C002-0140 20090802/ecd1ddc26c3d99da91497d17017c192114f4169e.VB 0.265644
20090802/05e1d808cc35fb17620d94eb1e2e4dfc33b164d2.Katusha rejected 20090802/05e1d808cc35fb17620d94eb1e2e4dfc33b164d2.Katusha 0
20090802/05e21326f189ba9eed35d7a9a3f68599a9fab305.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.111442
20090802/05f5996c9951c22697f56070cbf8dd4555876ca4.WinSecSuite rejected 20090802/05f5996c9951c22697f56070cbf8dd4555876ca4.WinSecSuite 0
20090802/05f947d0e52bfb6804d68183a9aa1c0ead3a0b6b.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.182109
20090802/066a5a230441da3003081fb3f4db0887ca5cf874.Inject rejected 20090802/2a5a4a3b1c78bea1bfc4d14370645538cf7df84d.Magania 0.368452
20090802/066f5652b178cc8d647861b0f5e7593cba4b8037.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.523728
20090802/06744a8f02c2b073adfdb5edfc47252a1204fb81.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.522852
20090802/0679fc27653dc35a020cdb2de17c532b76e61e34.Hrup rejected 20090802/0679fc27653dc35a020cdb2de17c532b76e61e34.Hrup 0.000271531
20090802/067b53bc9bec26f04ae34b7779437c723df51089.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.513278
20090802/067c7ba7ef6781b9988428363737aa0afeb87546.NothingFound C002-1134 20090802/ecb8386a6ea9448d17f2c968a26181077cbc2455.NothingFound 0.647884
20090802/068fa1350e4ddedf57bd5a1fc863ea161c6b06f9.Dialer C002-1258 20090802/b05f5dce4b6b6e180f34de84c79dd26a92963283.NothingFound 0.589496
20090802/06c478322c242e470ae507159b14876fbb6a7d1e.FraudLoad rejected 20090802/06c478322c242e470ae507159b14876fbb6a7d1e.FraudLoad 0.000202135
20090802/06c55665ffba8549082ae12fe7d21a6f5ff79207.Magania C002-1200 20090802/976c0bdd830f81c6b2677c07673be1457e678ff1.Magania 0.439044
20090802/06c73ed61aa8e89f0f9764dafcd0661c3011f25f.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.471391
20090802/06fb54ba1eb4a8993cb4a3821be72dc9e621206d.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0992868
20090802/070262b06f1c2459153a2d509fb411cfe20f9ba1.Virut rejected 20090802/070262b06f1c2459153a2d509fb411cfe20f9ba1.Virut 0.000202135
20090802/071197d40735842d5c9805a9cc9a20f27be0ea5e.NothingFound C002-1066 20090802/d027ced7b5909ecb33d9693af7d70be6541b83cd.NothingFound 0.645059
20090802/073ad2ffd779a6f47fc0ea7a3d5668f40cff6c0e.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.0949484
20090802/073df0e959cb3e1b2133a0b86f99d7fc72178151.Adload rejected 20090802/073df0e959cb3e1b2133a0b86f99d7fc72178151.Adload 0
20090802/076a9df0eb709330ff11f6a0c5bcff715aef24d1.NothingFound rejected 20090802/076a9df0eb709330ff11f6a0c5bcff715aef24d1.NothingFound 0
20090802/0774df04fba6e4b99370a8cc9b57b8776b2d6d39.Onestage rejected 20090802/0774df04fba6e4b99370a8cc9b57b8776b2d6d39.Onestage 0
20090802/077d09a5cd99f04927c33e3dc64433be0b9c4ce9.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.196798
20090802/079de9c92b759a47176935dc9d0c0c4cf10a0b5f.Allaple C002-0050 20090802/9ea659466ca7b06cc2904ce1098aa8e1052e0c6a.Allaple 0.514307
20090802/07a29fcfff931aff7614185b6f8a08b11cc42c2e.Adload rejected 20090802/073df0e959cb3e1b2133a0b86f99d7fc72178151.Adload 0.210818
20090802/07ba103ef88140cd455acc2de3ac3298b323bc18.NothingFound rejected 20090802/5be16bc429d2297b03f55c6221ff7088715498fc.Black 0.649823
20090802/07bd7d87378c89efc078a1992731b12370ac5d4e.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.215353
20090802/0844df4cfaa6c74fa7b483c5b754856f161cccbc.Udr C002-0337 20090802/0e3162c48a45b7bc2a89288e0d7d17e2417b48fb.Udr 0.179287
20090802/084d88a1c96ecde99cae21faff44b1334cedbcfc.Obfuscated C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.381546
20090802/08521e3db8521ecfca21bb773b7cd87b872d2ed8.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.514701
20090802/0863a200204f28a38ae3b7aa8aa38ecda87c5c50.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.104877
20090802/087215a48bc403da98db0b13947097d4956394a4.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.258496
20090802/087bcd5ff8205ff336b027103f1750d27133d69a.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.21112
20090802/088026ef1def567a509a077241dc668ae69c9ae2.CodecPack C002-1164 20090802/8429d98958f99d8b7eb3dc33412ceab84ae399d4.Virut 0.610319
20090802/08b4e658a3bd05826e8bc7b6d1870aad76603487.VB C002-1148 20090802/08b4e658a3bd05826e8bc7b6d1870aad76603487.VB 0
20090802/08b9912721949c65f68dca09d4a08523426d4dfc.Swizzor C002-0081 20090802/9cdd863f6e88b02bdbd8a0b106810227a4d7c1ea.Swizzor 0.376414
20090802/08cfe4ddc8c552248a338e07d859d48e23759970.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.542722
20090802/08d799b9b2437fb012da27f20b71db10260b4eef.Obfuscated C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.368311
20090802/08e488ad1c38ffd165bbd0b0b69973151d371396.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.572489
20090802/08e4c622bacdcb94730033cbf50419fd41b11ff0.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.197699
20090802/08e7a7b050f9e5afdfbffc602b6b5f68016a0ec2.Krap C002-0809 20090802/ebfe91e1aaf5f7a032f6684d73fde56cfe9ab8ff.Krap 0.64859
20090802/08ec66f86e685f4d544a91adb292c1d7a468e640.Hider rejected 20090802/08ec66f86e685f4d544a91adb292c1d7a468e640.Hider 0.00031908
20090802/08ed9a8073df5a6caf06e07c89265ee85e33a1c2.Virut rejected 20090802/08ed9a8073df5a6caf06e07c89265ee85e33a1c2.Virut 0
20090802/0908f669bb7c30274341f9da9ca4787fa0b7a516.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.528448
20090802/0916523fde33e436132700defd35ef7f14b4ddb7.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.53656
20090802/0917917e5d4369e40ffcb8acc9e9c8e4d5815f51.Texel rejected 20090802/0917917e5d4369e40ffcb8acc9e9c8e4d5815f51.Texel 0
20090802/0938096eb407d9f5c3bcf96ded8717e576718b51.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.211335
20090802/09678cbbdb20524f5144324b8ef7ce260fd36e4b.Mabezat rejected 20090802/09678cbbdb20524f5144324b8ef7ce260fd36e4b.Mabezat 0
20090802/097e27998c3f5c1bb45ff86ec4ffbee73b0bd3fb.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.520917
20090802/0983c3f8c9521e479bfd7c63dfe347227a097421.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.545122
20090802/099615337334768b2981ff3bc68b488d028277a1.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.500365
20090802/09c4d7c24c99e3f84cc36c7aa56f727cfc6f532a.NothingFound C002-1184 20090802/b4a211e2b8e97a922e52a9b7beeee3bd4a4b69d7.NothingFound 0.333333
20090802/09d0099bc591271841f255893aea9b08c67d9d9a.Cosne rejected 20090802/09d0099bc591271841f255893aea9b08c67d9d9a.Cosne 0.000250284
20090802/09d04cc3d555c9f529091524509ac2878a759e03.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.105634
20090802/09e02ec34b9733199dd3d55d74847217d4493d50.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.522475
20090802/0a087da00ca8cac2cd985eedfa97f71ce7275342.NothingFound C002-1148 20090802/de7232ec873e9a08792fac68ccd19869f6a0e2b1.NothingFound 0.558602
20090802/0a1f7e77b7da89a765cb4f00b9a6fa80bd9f725f.VB C002-1148 20090802/a6507471ad26057194a8c0a7b584ea450f937538.VB 0.612084
20090802/0a220764f75c6ce27c79df3396f368b33c40f3ad.Tdss C002-0514 20090802/e5a57363c77cc6ed174d377dc40cf273c887b3d6.Tdss 0.361351
20090802/0a420b5f44f8a027dbe9716ab5242aad7583ba9a.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.511984
20090802/0a552c7d9aa44a67d84ea8084a21380611db4dc8.Cinmus C002-1258 20090802/0a552c7d9aa44a67d84ea8084a21380611db4dc8.Cinmus 0
20090802/0a6273792e2c16af11c785ce81aa06b9d0a6dca5.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.525495
20090802/0a6611b62eb82caf2129307aff707bf4524ff1fd.Turkojan C002-1163 20090802/0a6611b62eb82caf2129307aff707bf4524ff1fd.Turkojan 0.000412568
20090802/0a74df7549b164a88c07e97ed967ac005d9d9f31.AutoIt C002-0186 20090802/9a8b2367fc7de8d9377c410e76f0a51f1a3c98b5.AutoIt 0.118927
20090802/0a8d3688ff2c9331c06a011c9979fb7f05af7290.Cinmus rejected 20090802/0a8d3688ff2c9331c06a011c9979fb7f05af7290.Cinmus 8.17825e-05
20090802/0ab5defe0a7b61ada6399125631ca685684b291e.NothingFound C002-1098 20090802/35751ed87841c19cb92a53b75e62803e0e2ad672.NothingFound 0.505255
20090802/0acc1e037d3ae25ff929612fbd4ed91b3fc99c98.Swizzor C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.393968
20090802/0ad66047ff69df003a4f13dffe5a03fcef9d81f0.VB C002-1148 20090802/0ad66047ff69df003a4f13dffe5a03fcef9d81f0.VB 0
20090802/0ae7ead6e8f9c7069530ff939e47e50d7fa84385.Basun C002-0001 20090802/0010f78d3ffee61101068a0722e09a98959a5f2c.Basun 0.240533
20090802/0aefbb082e0461675d05e147473045acdf2894cb.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.511984
20090802/0b00632807e8633e2d14b57816d7d3e365332432.Swizzor C002-0081 20090802/37dd1b223d3751ac2de1df4e424535616501200b.Swizzor 0.355159
20090802/0b1329503b334b3a248a4be21efc3bfd03107e0b.Krap C002-1370 20090802/abde75d1ccc94f97201aa3e358287195dd77d05d.Krap 0.458462
20090802/0b371d36720b394190a8a190a40e64e8684eb0e6.Swizzor C002-0751 20090802/e0cb25a88a5e0c748dfccfc8621cde8189e85d94.Swizzor 0.490839
20090802/0b54d0f81b9013a7b4f2e6e0764e47f985463b24.Swizzor C002-0081 20090802/9cdd863f6e88b02bdbd8a0b106810227a4d7c1ea.Swizzor 0.384951
20090802/0b7c6753ed267832f044adf47c8b4c76a62d6a1f.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.509252
20090802/0b86604a5fb1d4861e790a1380ecc90188d85dee.NothingFound rejected 20090802/0b86604a5fb1d4861e790a1380ecc90188d85dee.NothingFound 0
20090802/0ba1ead22cfab9881cbac24a6fde53d50da81dfd.Agent rejected 20090802/0ba1ead22cfab9881cbac24a6fde53d50da81dfd.Agent 0.000369852
20090802/0ba42407653f2069baa3d5554e24085464e3f1d7.NothingFound C002-1098 20090802/7d6a300b514981e507881d3d4fc432850821fc21.NothingFound 0.638615
20090802/0ba6fe2f79fd64d5631fa8d036fcaa9866e3b60d.Swizzor C002-0803 20090802/4b3623532f0329ffad5207718fa2bc2891fc3b38.Swizzor 0.548016
20090802/0baa7b9ea986812c8a81858087a0fa0cc398c5f8.Mydoom rejected 20090802/0baa7b9ea986812c8a81858087a0fa0cc398c5f8.Mydoom 0
20090802/0badc2e7bcb0659929363508c0fd2ff1823239fb.NothingFound C002-0982 20090802/39a5ccd0661841a14d34670085f91d56d44681f8.NothingFound 0.511984
20090802/0bc210d5504c482c3075075a92c1740b15548e5c.VB C002-0942 20090802/4579c274c9235e7af9cf9e72511ebc919d3b469e.VB 0.514654
20090802/0bef5d848478ab55b774a379d2097e9884723b30.IRCBot C002-1011 20090802/96f24676e094fb1d6f3394b9e6a71a0cf4805499.Refroso 0.641344
20090802/0c148e8a6994032a52db64251fd223a9ced0c045.Krap C002-1370 20090802/abde75d1ccc94f97201aa3e358287195dd77d05d.Krap 0.403119
